"","Sector","Metric","Value","Date_Range","Sector_Metric","Color"
"1","Financial","beta",0.890170412865244,"Range 1","Financial.beta","#1F78B499"
"2","Financial","alpha",-0.0810455157015494,"Range 1","Financial.alpha","#1F78B499"
"3","Financial","volatility",23.3809635497951,"Range 1","Financial.volatility","#1F78B499"
"4","Financial","drawdown",10.7115258871783,"Range 1","Financial.drawdown","#1F78B499"
"5","Healthcare","beta",0.796467249871941,"Range 1","Healthcare.beta","#33A02C99"
"6","Healthcare","alpha",-0.150474512122088,"Range 1","Healthcare.alpha","#33A02C99"
"7","Healthcare","volatility",18.9583516477681,"Range 1","Healthcare.volatility","#33A02C99"
"8","Healthcare","drawdown",7.78072276874458,"Range 1","Healthcare.drawdown","#33A02C99"
"9","Industrial","beta",0.889406598383454,"Range 1","Industrial.beta","#E31A1C99"
"10","Industrial","alpha",-0.0815366225598496,"Range 1","Industrial.alpha","#E31A1C99"
"11","Industrial","volatility",21.6844610069739,"Range 1","Industrial.volatility","#E31A1C99"
"12","Industrial","drawdown",8.20242304793924,"Range 1","Industrial.drawdown","#E31A1C99"
"13","Tech","beta",1.2190241141108,"Range 1","Tech.beta","#6A3D9A99"
"14","Tech","alpha",0.162479688939721,"Range 1","Tech.alpha","#6A3D9A99"
"15","Tech","volatility",27.682534678087,"Range 1","Tech.volatility","#6A3D9A99"
"16","Tech","drawdown",10.1270849880858,"Range 1","Tech.drawdown","#6A3D9A99"
"17","Financial","beta",1.56177699581251,"Range 2","Financial.beta","#1F78B4"
"18","Financial","alpha",0.535343454508382,"Range 2","Financial.alpha","#1F78B4"
"19","Financial","volatility",28.3752909675943,"Range 2","Financial.volatility","#1F78B4"
"20","Financial","drawdown",24.631090487239,"Range 2","Financial.drawdown","#1F78B4"
"21","Healthcare","beta",0.513000106451985,"Range 2","Healthcare.beta","#33A02C"
"22","Healthcare","alpha",-0.462278818981633,"Range 2","Healthcare.alpha","#33A02C"
"23","Healthcare","volatility",9.86280969757848,"Range 2","Healthcare.volatility","#33A02C"
"24","Healthcare","drawdown",10.3589861222617,"Range 2","Healthcare.drawdown","#33A02C"
"25","Industrial","beta",1.09523341331522,"Range 2","Industrial.beta","#E31A1C"
"26","Industrial","alpha",0.090696485205441,"Range 2","Industrial.alpha","#E31A1C"
"27","Industrial","volatility",16.2033144534738,"Range 2","Industrial.volatility","#E31A1C"
"28","Industrial","drawdown",13.7301301507279,"Range 2","Industrial.drawdown","#E31A1C"
"29","Tech","beta",0.984165089241753,"Range 2","Tech.beta","#6A3D9A"
"30","Tech","alpha",-0.0148313335228903,"Range 2","Tech.alpha","#6A3D9A"
"31","Tech","volatility",15.9169882301395,"Range 2","Tech.volatility","#6A3D9A"
"32","Tech","drawdown",11.6275812389947,"Range 2","Tech.drawdown","#6A3D9A"
